LMK_KEY,IMPROVEMENT_ITEM,IMPROVEMENT_SUMMARY_TEXT,IMPROVEMENT_DESCR_TEXT,IMPROVEMENT_ID,IMPROVEMENT_ID_TEXT,INDICATIVE_COST
3fc67a6f04f6c9e003e0ba39a4622f1ec80e9b3c5df7e82f299ab5f0cf78ccc4,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
3fc67a6f04f6c9e003e0ba39a4622f1ec80e9b3c5df7e82f299ab5f0cf78ccc4,2,Floor insulation (solid floor),Floor insulation (solid floor),58,,"£4,000 - £6,000"
efde5c01461b3f56d8cfaec39860d3244f7f71e995c52ae2fe8e9cd974bdff75,1,Low energy lighting for all fixed outlets,Low energy lighting,35,,£15
194d0cccaded18c18ddd90f5e61d14b603649c243eecb287fa1139db007cbdec,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
953e7b3ffe108dc766f51b3c125474ab8475a8ff3fd4b6a07638e702c764bac7,1,Increase loft insulation to 270 mm,Increase loft insulation to 270 mm,5,,£100 - £350
953e7b3ffe108dc766f51b3c125474ab8475a8ff3fd4b6a07638e702c764bac7,2,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
41b4f8db6e078fd43320a6323417984ef8fece695b26496bd57f286e9b4ce1ad,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
41b4f8db6e078fd43320a6323417984ef8fece695b26496bd57f286e9b4ce1ad,2,Draught proofing,Draught proofing,10,,£80 - £120
41b4f8db6e078fd43320a6323417984ef8fece695b26496bd57f286e9b4ce1ad,3,High heat retention storage heaters,High heat retention storage heaters,62,,£400 - £600
7aab67598107d238d8b6c9cf33346631067c3ec8aa5912298ebb0bad530264ea,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
7aab67598107d238d8b6c9cf33346631067c3ec8aa5912298ebb0bad530264ea,2,Draught proofing,Draught proofing,10,,£80 - £120
7aab67598107d238d8b6c9cf33346631067c3ec8aa5912298ebb0bad530264ea,3,High heat retention storage heaters,High heat retention storage heaters,62,,£400 - £600
a181d62b09a18f918f38c2065d3a1b653f3280c5905e41e7b7e7276d3f274494,1,Floor insulation (solid floor),Floor insulation (solid floor),58,,"£4,000 - £6,000"
a181d62b09a18f918f38c2065d3a1b653f3280c5905e41e7b7e7276d3f274494,2,Draught proofing,Draught proofing,10,,£80 - £120
a181d62b09a18f918f38c2065d3a1b653f3280c5905e41e7b7e7276d3f274494,3,High heat retention storage heaters,High heat retention storage heaters,62,,£400 - £600
b33eb8ddf545617a3d7de5abe3bbb30b005b23475d3467ee9d6a1e140790bca8,1,High heat retention storage heaters,High heat retention storage heaters,62,,£400 - £600
f520fbc6c0da615bc4a4da376a310c07eeee01d2d38463081089b597ab1193df,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
f520fbc6c0da615bc4a4da376a310c07eeee01d2d38463081089b597ab1193df,2,High heat retention storage heaters,High heat retention storage heaters,62,,£400 - £600
8e95f9f5437f842736b6d623e1b43bd9e483ef8013c9bc3d082235fdcfe574bc,1,Replacement glazing units,Replacement glazing units,56,,"£1,000 - £1,400"
2473336eaa1be3a19e8b8fa714fc437d2cc571317714c1ebab73bd46ec577c23,1,Cavity wall insulation,Cavity wall insulation,6,,"£500 - £1,500"
2473336eaa1be3a19e8b8fa714fc437d2cc571317714c1ebab73bd46ec577c23,2,Party wall insulation,Party wall insulation,63,,£300 - £600
2473336eaa1be3a19e8b8fa714fc437d2cc571317714c1ebab73bd46ec577c23,3,Floor insulation (solid floor),Floor insulation (solid floor),58,,"£4,000 - £6,000"
2473336eaa1be3a19e8b8fa714fc437d2cc571317714c1ebab73bd46ec577c23,4,Low energy lighting for all fixed outlets,Low energy lighting,35,,£15
27c8f06a332003fb15e2d5dbbeba2a8885749a7a57b9f875a30196bbd7af474e,1,Cavity wall insulation,Cavity wall insulation,6,,"£500 - £1,500"
27c8f06a332003fb15e2d5dbbeba2a8885749a7a57b9f875a30196bbd7af474e,2,Replace boiler with new condensing boiler,Condensing boiler,20,,"£2,200 - £3,000"
486fce086742330f3d7686e119b02f6a3024a1b91fbde893800666c3b32ba11b,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
fd2024edf53e568d06b45e3ec5ec64612e681fa6101f3c4b21112ae9cb37e62e,1,Floor insulation (solid floor),Floor insulation (solid floor),58,,"£4,000 - £6,000"
84b7675a86a598d0e2929a7e176f3bc67cef5831b03c5d70a5e6886bf51464a3,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
a56b0e6facb2b83e0967d39d84080f3178e4ed1d9f9cbebe6ad1b766d4ab7b72,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
a56b0e6facb2b83e0967d39d84080f3178e4ed1d9f9cbebe6ad1b766d4ab7b72,2,Floor insulation (suspended floor),Floor insulation (suspended floor),57,,"£800 - £1,200"
a56b0e6facb2b83e0967d39d84080f3178e4ed1d9f9cbebe6ad1b766d4ab7b72,3,Low energy lighting for all fixed outlets,Low energy lighting,35,,£60
cf2a4835384e874965cfdb46542e45f078793973a1091753866babb3c5ed10dc,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
3043da82522f5a6098d487a4e649d80e4a4dbd49a6574acfa0a373dbf26749a9,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
3043da82522f5a6098d487a4e649d80e4a4dbd49a6574acfa0a373dbf26749a9,2,Floor insulation (suspended floor),Floor insulation (suspended floor),57,,"£800 - £1,200"
800560e33536c2beaaf6431643ee2a3ac05644c9dd019b5783226540cfaabf66,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
800560e33536c2beaaf6431643ee2a3ac05644c9dd019b5783226540cfaabf66,2,Low energy lighting for all fixed outlets,Low energy lighting,35,,£20
d7fbc5b1e178be5545eda7348cbe33b76eb4e1ed3a43923b298bb2dedc772682,1,High heat retention storage heaters,High heat retention storage heaters,62,,"£1,200 - £1,800"
d7fbc5b1e178be5545eda7348cbe33b76eb4e1ed3a43923b298bb2dedc772682,2,Heat recovery system for mixer showers,Heat recovery system for mixer showers,49,,£585 - £725
0311d10bd57aac6b80fa2e92384dc635cf02d0ed3258dc022fb97cea3e90cf82,1,Low energy lighting for all fixed outlets,Low energy lighting,35,,£15
0311d10bd57aac6b80fa2e92384dc635cf02d0ed3258dc022fb97cea3e90cf82,2,Heat recovery system for mixer showers,Heat recovery system for mixer showers,49,,£585 - £725
23afe6f6aae84fd263a755aa27d7860d1bd7c49c69b659dd0b82a52bd73d3b67,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
23afe6f6aae84fd263a755aa27d7860d1bd7c49c69b659dd0b82a52bd73d3b67,2,Replace boiler with new condensing boiler,Condensing boiler,20,,"£2,200 - £3,000"
2300e863280283916c4ad55d0e13587d02ca875374207eb40473a3cecc5d4eab,1,Cavity wall insulation,Cavity wall insulation,6,,"£500 - £1,500"
2300e863280283916c4ad55d0e13587d02ca875374207eb40473a3cecc5d4eab,2,Floor insulation (solid floor),Floor insulation (solid floor),58,,"£4,000 - £6,000"
8d82715f5eb0a3ed0ca3482c40f66981f5dc35a9aa7ce626a896325242a0cde1,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
8d82715f5eb0a3ed0ca3482c40f66981f5dc35a9aa7ce626a896325242a0cde1,2,Floor insulation (solid floor),Floor insulation (solid floor),58,,"£4,000 - £6,000"
fe181878ae8a3661f38fa5b81e77a8b1a63824b3c7ebac86505516a4fb81cd43,1,Change heating to gas condensing boiler,Gas condensing boiler,29,,"£3,000 - £7,000"
19291991d3ea48806da528cf9277b15633671f660338bb42a1e4657faa2a095d,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
56d8ba416957a9fe924f4c72bccce66063f7139f2ea09d4681f5bffa945dfd3d,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
56d8ba416957a9fe924f4c72bccce66063f7139f2ea09d4681f5bffa945dfd3d,2,Replace single glazed windows with low-E double glazed windows,Double glazed windows,8,,"£3,300 - £6,500"
b8d121b5b651e8515cd7df7d107e0d5b323cfd7968cd7bcf5d3def452a3fbd39,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
b8d121b5b651e8515cd7df7d107e0d5b323cfd7968cd7bcf5d3def452a3fbd39,2,Low energy lighting for all fixed outlets,Low energy lighting,35,,£10
ceae02259947a8cd0e7603c5c9a38c4a71542a1ef2474164f74377a328725dc9,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
ceae02259947a8cd0e7603c5c9a38c4a71542a1ef2474164f74377a328725dc9,2,Replace single glazed windows with low-E double glazed windows,Double glazed windows,8,,"£3,300 - £6,500"
539a43bbdc597628792db51eb3679eaf6d7362b4c5da6fc9783c3842ee2e806a,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
539a43bbdc597628792db51eb3679eaf6d7362b4c5da6fc9783c3842ee2e806a,2,Floor insulation (suspended floor),Floor insulation (suspended floor),57,,"£800 - £1,200"
ca82fccd77b0614cd77b45073c79ba16c857abee6b801f44c6a5acfdd4334cdc,1,High heat retention storage heaters,High heat retention storage heaters,60,,"£800 - £1,200"
eedb234fabc52fea55183d9dbf2cc824a3dd01dc1027a864c4ab13b24dfdb44c,1,Increase loft insulation to 270 mm,Increase loft insulation to 270 mm,5,,£100 - £350
eedb234fabc52fea55183d9dbf2cc824a3dd01dc1027a864c4ab13b24dfdb44c,2,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
eedb234fabc52fea55183d9dbf2cc824a3dd01dc1027a864c4ab13b24dfdb44c,3,Heating controls (room thermostat and TRVs),Heating controls (room thermostat and TRVs),12,,£350 - £450
0a12a07590d9addff8a0fb9e13520009b8b8aaa87bf4566affee3526bbceda94,1,Cavity wall insulation,Cavity wall insulation,6,,"£500 - £1,500"
3984edd998440bd15400a0217952559e124ba53e279fbcf5592f7405b75fd939,1,Cavity wall insulation,Cavity wall insulation,6,,"£500 - £1,500"
3984edd998440bd15400a0217952559e124ba53e279fbcf5592f7405b75fd939,2,Floor insulation (solid floor),Floor insulation (solid floor),58,,"£4,000 - £6,000"
6fa57fe371c80aaeaba7e6a2bfd75e34f82cc067f11675b30486ed6fbeb83e25,1,Low energy lighting for all fixed outlets,Low energy lighting,35,,£40
7ed419ec18452a96d31b1aab644720090463698bdb7bb6fdb00066980e4cf6c2,1,Floor insulation (solid floor),Floor insulation (solid floor),58,,"£4,000 - £6,000"
30d5c19ce0a0f13271b733f7f1ed3eaaf7f23966da5447211d16d1fc04b62f08,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
30d5c19ce0a0f13271b733f7f1ed3eaaf7f23966da5447211d16d1fc04b62f08,2,Floor insulation (solid floor),Floor insulation (solid floor),58,,"£4,000 - £6,000"
8a3899fcd0e6575a25e04f76f3e275df70b4ba73edbe4b03784e836576fb3b69,1,Increase loft insulation to 270 mm,Increase loft insulation to 270 mm,5,,£100 - £350
8a3899fcd0e6575a25e04f76f3e275df70b4ba73edbe4b03784e836576fb3b69,2,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
b72ede75e68964adef071fff9c0e0d5171d72b178ae1789592ffa160f138996d,1,Floor insulation (solid floor),Floor insulation (solid floor),58,,"£4,000 - £6,000"
fad0f27cbb4814fcf1476c97d2f22d02674c554d3653b3c1443cb26f4036ffd3,1,Floor insulation (solid floor),Floor insulation (solid floor),58,,"£4,000 - £6,000"
954d4215080c3a0fb9f34cc7f03de53a80794f60863bfe88a561d1e4a5041e05,1,Floor insulation (solid floor),Floor insulation (solid floor),58,,"£4,000 - £6,000"
954d4215080c3a0fb9f34cc7f03de53a80794f60863bfe88a561d1e4a5041e05,2,Draught proofing,Draught proofing,10,,£80 - £120
954d4215080c3a0fb9f34cc7f03de53a80794f60863bfe88a561d1e4a5041e05,3,Replace boiler with new condensing boiler,Condensing boiler,20,,"£2,200 - £3,000"
954d4215080c3a0fb9f34cc7f03de53a80794f60863bfe88a561d1e4a5041e05,4,Replace single glazed windows with low-E double glazed windows,Double glazed windows,8,,"£3,300 - £6,500"
8199eacea6c6370c82c50fde8b11c3e51a3f611ad8e5f51dc6ac5beb78cde746,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
8199eacea6c6370c82c50fde8b11c3e51a3f611ad8e5f51dc6ac5beb78cde746,2,Floor insulation (suspended floor),Floor insulation (suspended floor),57,,"£800 - £1,200"
c195d52338a472685ea1a605a643fd609c8fc2d150f83be86b0780ad03e60edc,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
c195d52338a472685ea1a605a643fd609c8fc2d150f83be86b0780ad03e60edc,2,Floor insulation (suspended floor),Floor insulation (suspended floor),57,,"£800 - £1,200"
11a045ce69c5a9eaf8d2c1d590d99b3101ae838c35a3be280424973efa1dfc45,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
11a045ce69c5a9eaf8d2c1d590d99b3101ae838c35a3be280424973efa1dfc45,2,Replace single glazed windows with low-E double glazed windows,Double glazed windows,8,,"£3,300 - £6,500"
ce33e71e61eeb95069baac08a7d8b02dbd5ada5ac19fa7535135fe03b9212f1c,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
10f246ec57ff55b848d9a267f7501c05abfc45de45774880f3cb5b9b053fbcbd,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
10f246ec57ff55b848d9a267f7501c05abfc45de45774880f3cb5b9b053fbcbd,2,Floor insulation (suspended floor),Floor insulation (suspended floor),57,,"£800 - £1,200"
4b1d3ebb904a80bd4e23fc40410b3dd6b9100a42cf20be5da7c7c1217327928b,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
5653af7ab7ac873bed72b0cd03393c35da2f3bc750fe3ef59c0888a9e8b41f33,1,Flat roof or sloping ceiling insulation,Flat roof or sloping ceiling insulation,45,,"£850 - £1,500"
5653af7ab7ac873bed72b0cd03393c35da2f3bc750fe3ef59c0888a9e8b41f33,2,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
6858acef410659827166ca6145ee4714ea0b896c57110c59cece9cbd6b5ad116,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
7d9707b1b12f38c1864aedc11501e8550afedea09b1a02801c12ab3fef0774b1,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
9e6f31e2d269bf7588bebbfd5909d44cdf4c6cb2031a226a2008e1fd0e7ba559,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
11edd85e5a3b33f82a0425a5d5cc8a6a30e21cc3f12a978035023f59911ede7e,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
241c27e0ec89f1985781a7696779ecc27e28eef3bde882047ad6443e0deee805,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
241c27e0ec89f1985781a7696779ecc27e28eef3bde882047ad6443e0deee805,2,High heat retention storage heaters,High heat retention storage heaters,60,,"£800 - £1,200"
7c5642ec90f7ac9879d6c0dc1575e6d1e3352501683ddc0f3af59e3fe06a0b29,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
7c5642ec90f7ac9879d6c0dc1575e6d1e3352501683ddc0f3af59e3fe06a0b29,2,Low energy lighting for all fixed outlets,Low energy lighting,35,,£15
7c5642ec90f7ac9879d6c0dc1575e6d1e3352501683ddc0f3af59e3fe06a0b29,3,Replace boiler with new condensing boiler,Condensing boiler,20,,"£2,200 - £3,000"
800fce7d04cd7648211ab2d5123ea1d79170dd94dc98f9cd7652c903994cfcf1,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
800fce7d04cd7648211ab2d5123ea1d79170dd94dc98f9cd7652c903994cfcf1,2,Floor insulation (solid floor),Floor insulation (solid floor),58,,"£4,000 - £6,000"
c4424cf5e47d158f05c0a88f1ebde887ef57dd2d0e97de937a7cdc3e24c9f118,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
1fdf551e42463e9e2a03be1baa639a29b435ae5cd57efb39e4e34e25bf4f19dd,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
a479d3d55cc96749d1a63a7e0b7fb0716b0b50566b457f0c0c7b9c6d46cd75a6,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
b2c60bcb7400a8dd406fe7c0fe00340bfceae499e3e65ce8611e8f5ff905f1cc,1,Low energy lighting for all fixed outlets,Low energy lighting,35,,£35
1888554cda496403cf6c8a2f1f6f598b1e38a86db5a6af5867933b65b4676259,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
1c41b7febbfaac23dfd266b210503a79a590a7b1f1f8aab53cae3b63b438eb0c,1,Add additional 80 mm jacket to hot water cylinder,Add additional 80 mm jacket to hot water cylinder,3,,£15 - £30
1c41b7febbfaac23dfd266b210503a79a590a7b1f1f8aab53cae3b63b438eb0c,2,Low energy lighting for all fixed outlets,Low energy lighting,35,,£20
1c41b7febbfaac23dfd266b210503a79a590a7b1f1f8aab53cae3b63b438eb0c,3,Heat recovery system for mixer showers,Heat recovery system for mixer showers,49,,£585 - £725
819138af29c3b797b3a97e657a55c7a6d95053d716966ccbca6adeb83704aecf,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
819138af29c3b797b3a97e657a55c7a6d95053d716966ccbca6adeb83704aecf,2,Replace single glazed windows with low-E double glazed windows,Double glazed windows,8,,"£3,300 - £6,500"
9254139a3b572c055b162b8f9b76086cf84f418ecb9011f1550a8a23587cddda,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
9254139a3b572c055b162b8f9b76086cf84f418ecb9011f1550a8a23587cddda,2,Replace single glazed windows with low-E double glazed windows,Double glazed windows,8,,"£3,300 - £6,500"
b1aecd4d10d0832085defea7e1994bde68e729bed163dcb7e259a02e4ce84adb,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
b1aecd4d10d0832085defea7e1994bde68e729bed163dcb7e259a02e4ce84adb,2,Low energy lighting for all fixed outlets,Low energy lighting,35,,£10
314bae8443263a836e55afc2bb0a56af23c421cbc8fa7531b5246a12cc3b087f,1,High heat retention storage heaters,High heat retention storage heaters,62,,"£1,200 - £1,800"
a587bab100967962a39e3e00a02635ad31da103cb99d00d8a601805ab73b3ac1,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
a587bab100967962a39e3e00a02635ad31da103cb99d00d8a601805ab73b3ac1,2,Replace single glazed windows with low-E double glazed windows,Double glazed windows,8,,"£3,300 - £6,500"
bcf4e07e8ceb5f1af97ebf3baf1fbc12aa0ea653c2594b8fd4a3ca96f3d110a1,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
7babbb4b365906b863ec4908d428f9866317d40990ed6758088fe6aa957991de,1,Floor insulation (suspended floor),Floor insulation (suspended floor),57,,"£800 - £1,200"
7babbb4b365906b863ec4908d428f9866317d40990ed6758088fe6aa957991de,2,Heat recovery system for mixer showers,Heat recovery system for mixer showers,49,,£585 - £725
052e76b765d161ea684c596b19145bafd9ece61f4818f9536268194d9d8dc7cf,1,Heat recovery system for mixer showers,Heat recovery system for mixer showers,49,,£585 - £725
072ec8c63f960b268ac9cac4449aaff3890355aa34c1824ab8d3917da0900f3e,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
072ec8c63f960b268ac9cac4449aaff3890355aa34c1824ab8d3917da0900f3e,2,Low energy lighting for all fixed outlets,Low energy lighting,35,,£15
3c30d7ad7909293650a0fb948537e904ac0c0aac90f864501baa2f611bf49c38,1,Heat recovery system for mixer showers,Heat recovery system for mixer showers,49,,£585 - £725
83ab57bf32abfb32ee8e9475423160fff7cc8b2ca752b4d97110c195ac20db6a,1,Room-in-roof insulation,Room-in-roof insulation,46,,"£1,500 - £2,700"
83ab57bf32abfb32ee8e9475423160fff7cc8b2ca752b4d97110c195ac20db6a,2,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
83ab57bf32abfb32ee8e9475423160fff7cc8b2ca752b4d97110c195ac20db6a,3,Replace single glazed windows with low-E double glazed windows,Double glazed windows,8,,"£3,300 - £6,500"
e14344ed378a8fcb5dc4d2576f524e7d851533166cee7d502208aa604b4bb3b2,1,High heat retention storage heaters,High heat retention storage heaters,60,,"£800 - £1,200"
062956880196a7cdd8da6942be0c6d9d107852796bf43f3e9b27b645dbc31d3c,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
d4a213fdf02afb94884129507d621fc6f29c891eee565b7d24188a2e8d6d1bd6,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
2e12731b0e8af09709b5c60718c6ffa8c678191f0d598f14050567402e460a47,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
80719127208394147b8334b8750c5f064ec90ba11f42923ff0b5c6be09bf320b,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
ac67310c65f1fae1d3e1d4a6b7cdc661c754eec83ae3c904ebf3c358e831e717,1,Increase loft insulation to 270 mm,Increase loft insulation to 270 mm,5,,£100 - £350
ac67310c65f1fae1d3e1d4a6b7cdc661c754eec83ae3c904ebf3c358e831e717,2,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
6a80683057204479611c96eb1b7f98992cba05fe5321c34b48516f934ed962f7,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
78759d913701e71cf733da42d4cadd467f70ef1ea3621bfa6cec16a061d19cff,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
991a3c58b9c21cc20fcfcc4889f64ee719ce7e25c30577a4a775536762282156,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
991a3c58b9c21cc20fcfcc4889f64ee719ce7e25c30577a4a775536762282156,2,Replace single glazed windows with low-E double glazed windows,Double glazed windows,8,,"£3,300 - £6,500"
a3bdb38587ead0c1a24365e7e4fc6e68b74149b6e3c9133a5ac0a8c71dbfdf33,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
dfd18e1a6646fdee7081d5d42b9340c2f4f537f046bd2963f317a8139ff7abbd,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
249c5715f7c9780d1553a4b3f537cf39baf9991782c360f970f854dd982261bf,1,Increase loft insulation to 270 mm,Increase loft insulation to 270 mm,5,,£100 - £350
249c5715f7c9780d1553a4b3f537cf39baf9991782c360f970f854dd982261bf,2,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
9ad1a1319d2133280f34359b2909bab161c171a68f7991cc7a1baf1e1b549470,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
f309dae28a71e5b554853436fcb13f375abff89effb7e432ff08e01842d4dce4,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
f309dae28a71e5b554853436fcb13f375abff89effb7e432ff08e01842d4dce4,2,High heat retention storage heaters,High heat retention storage heaters,60,,"£800 - £1,200"
558e8ef55590b7610257250f5c5b2b8a85df5d0dd54e35b58662d4b798e997a0,1,High heat retention storage heaters,High heat retention storage heaters,60,,"£800 - £1,200"
fcbe95889f2a0a01b94b3ad9a3aece4e0dcfd711e072db9b4af9f171311612bb,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
fcbe95889f2a0a01b94b3ad9a3aece4e0dcfd711e072db9b4af9f171311612bb,2,Floor insulation (solid floor),Floor insulation (solid floor),58,,"£4,000 - £6,000"
fcbe95889f2a0a01b94b3ad9a3aece4e0dcfd711e072db9b4af9f171311612bb,3,Low energy lighting for all fixed outlets,Low energy lighting,35,,£10
349a0e281bdf2b5e572392dcdd39c5ad2cbd2d1c0cae446b5d5c13f3af1680bd,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
349a0e281bdf2b5e572392dcdd39c5ad2cbd2d1c0cae446b5d5c13f3af1680bd,2,"Heating controls (programmer, room thermostat and TRVs)","Heating controls (programmer, thermostat, TRVs)",11,,£350 - £450
87ec2fc871d1e44ad762f635af93740846b2a6911f7af831aa960179836f415f,1,Cavity wall insulation,Cavity wall insulation,6,,"£500 - £1,500"
88098759ce48d7f5dabce00141ad5a51e59707930d3184284ab4663ec3d57e87,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
9f0b8c76419594ee314982e4b44f33fe1a851bc841e46fa374c4330012557b0f,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
bc8f3d3bac3aa031ee7ed3d962f7900c4a5ae272b696a968817ffa2e46067d8b,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
fdce3733a37714fa0dd4717bcb649e205208e5e6c6d4891d4a8e15ab8f43294c,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
fdce3733a37714fa0dd4717bcb649e205208e5e6c6d4891d4a8e15ab8f43294c,2,Draught proofing,Draught proofing,10,,£80 - £120
fdce3733a37714fa0dd4717bcb649e205208e5e6c6d4891d4a8e15ab8f43294c,3,Replace single glazed windows with low-E double glazed windows,Double glazed windows,8,,"£3,300 - £6,500"
e97be3d5c4bb8dcd1a3e98ad35b1867533eedc7ee7a1996b320d471a5b45b50d,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
ed90d64638ed5c94c7b048006e1c138d05ed1de051452d9d31f807415d90635e,1,Increase loft insulation to 270 mm,Increase loft insulation to 270 mm,5,,£100 - £350
ed90d64638ed5c94c7b048006e1c138d05ed1de051452d9d31f807415d90635e,2,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
ad0619cd6098615039e7ddacf22b07b52068548fc9deae6a33e05ea0f4cbefb1,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
ad0619cd6098615039e7ddacf22b07b52068548fc9deae6a33e05ea0f4cbefb1,2,Floor insulation (solid floor),Floor insulation (solid floor),58,,"£4,000 - £6,000"
433abb2ef8884547ea865107bbcb8731ae4c58bc9299d034d6d3aedf6c6814b1,1,Floor insulation (solid floor),Floor insulation (solid floor),58,,"£4,000 - £6,000"
5b643f6bf1b2cb2a1e824ff0b87dcfebc2cf8fd02b178b666edf837f5f5a97c5,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
5b643f6bf1b2cb2a1e824ff0b87dcfebc2cf8fd02b178b666edf837f5f5a97c5,2,Replace boiler with new condensing boiler,Condensing boiler,20,,"£2,200 - £3,000"
5b643f6bf1b2cb2a1e824ff0b87dcfebc2cf8fd02b178b666edf837f5f5a97c5,3,Replace single glazed windows with low-E double glazed windows,Double glazed windows,8,,"£3,300 - £6,500"
9d59855c3dcf869425d2a96264ef67e0daeb8b21d0cd138f53ec350de0987841,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
9d59855c3dcf869425d2a96264ef67e0daeb8b21d0cd138f53ec350de0987841,2,Replace boiler with new condensing boiler,Condensing boiler,20,,"£2,200 - £3,000"
