LMK_KEY,IMPROVEMENT_ITEM,IMPROVEMENT_SUMMARY_TEXT,IMPROVEMENT_DESCR_TEXT,IMPROVEMENT_ID,IMPROVEMENT_ID_TEXT,INDICATIVE_COST
18af94eba06779a73b3d7883f87d86f4b396058b07e3717444539400aa2117ab,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
18af94eba06779a73b3d7883f87d86f4b396058b07e3717444539400aa2117ab,2,Add additional 80 mm jacket to hot water cylinder,Add additional 80 mm jacket to hot water cylinder,3,,£15 - £30
18fb0a1086bc38035ab9ac673603b5c9aee63928c45311b6c80f3996ffb7ddb9,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
18fb0a1086bc38035ab9ac673603b5c9aee63928c45311b6c80f3996ffb7ddb9,2,Floor insulation (solid floor),Floor insulation (solid floor),58,,"£4,000 - £6,000"
190f3a597c6e5574e84f589be3d30613c437790c716111898bae0097c4642a0f,1,Cavity wall insulation,Cavity wall insulation,6,,"£500 - £1,500"
190f3a597c6e5574e84f589be3d30613c437790c716111898bae0097c4642a0f,2,High performance external doors,High performance external doors,48,,"£1,000"
191ee537d2f0396bb77ada5a8a1e506909b1db3c85550eb3a418990ebd69f229,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
192784d8c93f061a2fd511814c5405040eb4e3b59c1e5d1170adec47c3fec745,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
192885a11f4a663e730ccd51243a24a86e99fd576c8d242d2b56439dd689d750,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
193d721fc92171c57310e0b5ec7dbd05f1c3f338422abc9be7ca1e4ecd04f396,1,Increase hot water cylinder insulation,Increase hot water cylinder insulation,2,,£15 - £30
194198ba446d7c3da2ba3f8601f3ed93b2e218dc0013f29637054a268742baa4,1,Low energy lighting for all fixed outlets,Low energy lighting,35,,£15
194fd74590940d5032f2b84dafc75b06fab647e4f27eb07d8d59703242968e93,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
195f9735d2bbf039dbb9572a3c9ff5000ef06ba15e5175085d98042cb5805c6f,1,Increase loft insulation to 270 mm,Increase loft insulation to 270 mm,5,,£100 - £350
1968631c362112f44af396775dc41b60b3ccbbca2453398dc340fa76b95e2a73,1,Cavity wall insulation,Cavity wall insulation,6,,"£500 - £1,500"
1968631c362112f44af396775dc41b60b3ccbbca2453398dc340fa76b95e2a73,2,Low energy lighting for all fixed outlets,Low energy lighting,35,,£10
1a14eca814754e7f6a70de142aa4d81e797d9048dcc909da8ef28a66a7320c0c,1,Floor insulation (solid floor),Floor insulation (solid floor),58,,"£4,000 - £6,000"
1a14eca814754e7f6a70de142aa4d81e797d9048dcc909da8ef28a66a7320c0c,2,Low energy lighting for all fixed outlets,Low energy lighting,35,,£10
1a91750a7680f1de8033fca6dca4365c4f2a3b06275a6464afe17446628d9deb,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
1aaa192c7e8e25d8697c7701691cfea69b0c837121ae330233c06a08b0f24f7b,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
1ad45669e7c8d343e67b49d8bbb6eefef83d54b4f1218c3ef651d22918eabca3,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
1ad45669e7c8d343e67b49d8bbb6eefef83d54b4f1218c3ef651d22918eabca3,2,Replace boiler with new condensing boiler,Condensing boiler,20,,"£2,200 - £3,000"
1aeabb2231be95918a7d0a24176f2162454688daa3abbbcbc67bb7f8087e5017,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
1afcfd9fc8fdccd096a45987d05b427601072b9cfded2a3f0ecd92c53e8471c5,1,Cavity wall insulation,Cavity wall insulation,6,,"£500 - £1,500"
1afcfd9fc8fdccd096a45987d05b427601072b9cfded2a3f0ecd92c53e8471c5,2,Floor insulation (solid floor),Floor insulation (solid floor),58,,"£4,000 - £6,000"
1b19dec848093169d7eb57f4c9eb7ccda582d5bcc0832d159400851625082adc,1,Cavity wall insulation,Cavity wall insulation,6,,"£500 - £1,500"
1b19dec848093169d7eb57f4c9eb7ccda582d5bcc0832d159400851625082adc,2,Add additional 80 mm jacket to hot water cylinder,Add additional 80 mm jacket to hot water cylinder,3,,£15 - £30
1b19dec848093169d7eb57f4c9eb7ccda582d5bcc0832d159400851625082adc,3,Low energy lighting for all fixed outlets,Low energy lighting,35,,£10
1b19dec848093169d7eb57f4c9eb7ccda582d5bcc0832d159400851625082adc,4,Hot water cylinder thermostat,Hot water cylinder thermostat,4,,£200 - £400
1b19dec848093169d7eb57f4c9eb7ccda582d5bcc0832d159400851625082adc,5,Replace boiler with new condensing boiler,Condensing boiler,20,,"£2,200 - £3,000"
