OBJECTID,NAME,ESTATE_NAM,ESTATE_COD,Shape__Area,Shape__Length
93,CHERRY LAUREL WALK,CHERRY LAUREL WALK ESTATE,EB027,2280.13724517822,207.254411754643
94,CLARKE HOUSE FLATS,CLARKE HOUSE FLATS,EB030,1903.03549957275,240.659671321645
95,EFFRA COURT FLATS,EFFRA COURT FLATS,EB042,1026.29251861572,133.937230109123
96,FITCH COURT SHELTERED,FITCH COURT SHELTERED,EB045,3425.61152648926,260.41380633224
97,FOSTER COURT FLATS,FOSTER COURT FLATS,EB048,659.894996643066,116.28375248795
98,GORDON GROVE FLATS,GORDON GROVE FLATS,EB053,1044.24998474121,137.616456126607
99,HERNE HILL FLATS,HERNE HILL FLATS,EB061,889.738754272461,134.17398498075
100,HERNE HILL ROAD FLATS,HERNE HILL ROAD FLATS,EB062,221.643745422363,64.484951957272
101,JOSEPH POWELL,JOSEPH POWELL ESTATE,EB067,3020.5982131958,241.841749742574
102,KINGS AVENUE FLATS,KINGS AVENUE FLATS,EB068,317.373649597168,76.3733399472179
103,KINGSCROFT,KINGSCROFT ESTATE,EB069,2473.13124847412,242.447971390218
104,LAMBOURN COURT FLATS,LAMBOURN COURT FLATS,EB072,722.040008544922,108.44367910878
105,LESSAR COURT FLATS,LESSAR COURT FLATS,EB074,2905.83627319336,270.495706016569
106,LILFORD ROAD FLATS,LILFORD ROAD FLATS,EB075,1344.91623687744,161.717560574386
107,MACKIE HOUSE,MACKIE ESTATE,EB077,3210.38206481934,277.819730078057
108,MAGNOLIA PLACE FLATS,MAGNOLIA PLACE FLATS,EB078,3502.73598480225,273.370625522378
109,MATLOCK CLOSE FLATS,MATLOCK CLOSE FLATS,EB080,3176.60338592529,307.851666257404
110,OBORNE CLOSE FLATS,OBORNE CLOSE FLATS,EB087,7217.72599029541,418.925784374916
111,ORLANDO COURT FLATS,ORLANDO COURT FLATS,EB088,817.109046936035,122.34159966836
112,PARK COURT FLATS,PARK COURT FLATS,EB089,1584.91250610352,179.386971774582
113,ROLLSCOURT AVENUE FLATS,ROLLSCOURT AVENUE FLATS,EB094,1734.11000061035,178.81796095384
114,SALTOUN ROAD FLATS,SALTOUN ROAD FLATS,EB099,549.201225280762,101.563489313784
115,SOUTHSIDE COURT FLATS,SOUTHSIDE COURT FLATS,EB104,669.974998474121,109.164828153963
116,SOUTHVIEW COURT FLATS,SOUTHVIEW COURT FLATS,EB105,1076.74626922607,132.183585988038
117,SOUTHWELL ROAD FLATS,SOUTHWELL ROAD FLATS,EB106,1102.69874572754,140.328857198544
